Brand,Origin,Characteristics,Preparation Method
Typica,Fazenda Primavera,Citrusy,Hario V60
Bourbon,Fazenda Serrinha,Chocolatey,Clever
Caturra,Patrocínio,Full Body,French Press
Catuai,Fazenda Serrinha,Smokey,Italiana
SL28,Fazenda Vista Alegre,Sweet Aftertaste,Espresso
SL34,Três Pontas,Earthy,Hario V60
Pacamara,Fazenda Paraíso,Smooth Finish,Clever
Gesha,Patrocínio,Bright Acidity,French Press
Maragogipe,Varginha,Fruity,Italiana
Mundo Novo,Santa Rita do Sapucaí,Spicy,Espresso
Yellow Bourbon,Poços de Caldas,Smokey,Hario V60
Red Bourbon,Carmo de Minas,Balanced,Clever
Ethiopian Heirloom,Fazenda Monte Verde,Sweet Aftertaste,French Press
Villalobos,Fazenda Primavera,Balanced,Italiana
Java,Fazenda Vista Alegre,Rich Flavor,Espresso
Blue Mountain,Fazenda Serrinha,Nutty,Hario V60
Kona,Serra Negra,Fruity,Clever
Typica,Fazenda Boa Esperança,Floral,French Press
Bourbon,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Caturra,Poços de Caldas,Earthy,Espresso
Catuai,Poços de Caldas,Floral,Hario V60
SL28,Fazenda Santa Clara,Full Body,Clever
SL34,Lavras,Nutty,French Press
Pacamara,São Sebastião do Paraíso,Bright Acidity,Italiana
Gesha,Poços de Caldas,Full Body,Espresso
Maragogipe,Três Pontas,Fruity,Hario V60
Mundo Novo,Fazenda Monte Verde,Rich Flavor,Clever
Yellow Bourbon,Fazenda Paraíso,Balanced,French Press
Red Bourbon,Araguari,Rich Flavor,Italiana
Ethiopian Heirloom,Fazenda Santa Clara,Full Body,Espresso
Villalobos,Lavras,Fruity,Hario V60
Java,Fazenda São Luiz,Floral,Clever
Blue Mountain,Itamogi,Full Body,French Press
Kona,Fazenda Primavera,Chocolatey,Italiana
Typica,Poços de Caldas,Bright Acidity,Espresso
Bourbon,Araguari,Smokey,Hario V60
Caturra,Fazenda Boa Esperança,Full Body,Clever
Catuai,Fazenda Boa Esperança,Fruity,French Press
SL28,Araguari,Chocolatey,Italiana
SL34,Fazenda Santa Clara,Floral,Espresso
Pacamara,São Sebastião do Paraíso,Chocolatey,Hario V60
Gesha,Fazenda Serrinha,Chocolatey,Clever
Maragogipe,Lavras,Earthy,French Press
Mundo Novo,Varginha,Full Body,Italiana
Yellow Bourbon,Araguari,Full Body,Espresso
Red Bourbon,Fazenda Vista Alegre,Smokey,Hario V60
Ethiopian Heirloom,Fazenda Primavera,Rich Flavor,Clever
Villalobos,São Sebastião do Paraíso,Nutty,French Press
Java,Fazenda Vista Alegre,Sweet Aftertaste,Italiana
Blue Mountain,Três Pontas,Smokey,Espresso
Kona,Poços de Caldas,Full Body,Hario V60
Typica,Lavras,Smokey,Clever
Bourbon,Patrocínio,Balanced,French Press
Caturra,Fazenda Primavera,Caramel,Italiana
Catuai,Fazenda Boa Esperança,Bright Acidity,Espresso
SL28,Três Pontas,Earthy,Hario V60
SL34,Lavras,Bright Acidity,Clever
Pacamara,Fazenda São Luiz,Spicy,French Press
Gesha,Santa Rita do Sapucaí,Floral,Italiana
Maragogipe,Fazenda São Luiz,Bright Acidity,Espresso
Mundo Novo,Fazenda Paraíso,Rich Flavor,Hario V60
Yellow Bourbon,Fazenda São Luiz,Chocolatey,Clever
Red Bourbon,Fazenda Vista Alegre,Spicy,French Press
Ethiopian Heirloom,Lavras,Balanced,Italiana
Villalobos,Fazenda Boa Esperança,Fruity,Espresso
Java,Itamogi,Fruity,Hario V60
Blue Mountain,Fazenda Primavera,Rich Flavor,Clever
Kona,Fazenda Santa Clara,Full Body,French Press
Typica,Guaxupé,Citrusy,Italiana
Bourbon,Fazenda São Luiz,Citrusy,Espresso
Caturra,Poços de Caldas,Fruity,Hario V60
Catuai,Fazenda Vista Alegre,Chocolatey,Clever
SL28,Guaxupé,Balanced,French Press
SL34,Santa Rita do Sapucaí,Sweet Aftertaste,Italiana
Pacamara,Fazenda São Luiz,Rich Flavor,Espresso
Gesha,Fazenda Boa Esperança,Smooth Finish,Hario V60
Maragogipe,Fazenda Vista Alegre,Nutty,Clever
Mundo Novo,Fazenda São Luiz,Citrusy,French Press
Yellow Bourbon,Fazenda Primavera,Full Body,Italiana
Red Bourbon,Lavras,Bright Acidity,Espresso
Ethiopian Heirloom,Santa Rita do Sapucaí,Rich Flavor,Hario V60
Villalobos,Patrocínio,Nutty,Clever
